Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,43.86773,74.90984,0,2.33947,1.43844,2.60047,5.21913,11.36262,1.00000
1,1,43.88647,73.63018,0,4.23312,1.46280,2.65400,5.31076,11.45833,1.00000
1,2,42.61834,73.87188,0,4.48607,1.45472,2.60987,5.14122,10.88276,1.00000
1,3,42.25988,73.38817,0,5.34040,1.40427,2.44438,4.66586,9.56142,1.00000
1,4,43.70848,74.08363,0,4.76066,1.38907,2.41992,4.66297,9.73403,1.00000
1,5,44.47643,73.19583,0,3.18973,1.46953,2.69368,5.45942,11.95533,1.00000
1,6,44.41760,73.37393,0,2.75753,1.36809,2.33331,4.36761,8.79059,0.50680
1,7,41.39756,74.21790,0,2.81311,1.57545,3.07031,6.63283,15.47308,1.00000
1,8,37.66144,74.29313,0,4.13121,1.62074,3.21338,7.02233,16.48817,1.00000
1,9,36.77717,73.24802,0,4.27138,1.63073,3.24693,7.11157,16.70594,1.00000
1,10,35.87270,73.94087,0,3.20952,1.54640,3.00767,6.50864,15.22829,0.50000
1,11,37.24715,74.70482,0,6.36522,1.63145,3.24124,7.07892,16.57673,1.00000
1,12,38.43472,75.10052,0,4.85682,1.47133,2.69856,5.48615,12.08014,1.00000
1,13,37.87020,74.74409,0,3.36394,1.43176,2.53514,4.94044,10.37208,1.00000
1,14,40.14160,75.56317,0,2.42549,1.51161,2.82132,5.82055,12.96844,1.00000
1,15,41.56512,76.58071,0,5.03744,1.36279,2.29489,4.20883,8.23184,1.00000
1,16,42.58331,76.16546,0,6.74433,1.38534,2.39133,4.54529,9.32356,1.00000
1,17,42.25056,75.82936,0,4.55041,1.42488,2.53964,5.02207,10.78456,1.00000
1,18,42.12148,76.11269,0,5.94441,1.43005,2.56008,5.06888,10.85570,1.00000
1,19,43.04393,75.87837,0,5.26399,1.44237,2.59493,5.16494,11.12424,1.00000
1,20,42.16152,75.04356,0,2.63692,1.55561,2.99049,6.35479,14.55756,1.00000
1,21,40.87027,75.18861,0,2.17359,1.36704,2.36355,4.54097,9.49550,0.50002
1,22,40.50623,75.00645,0,2.18545,1.43443,2.59740,5.24369,11.52954,0.50014
1,23,39.91312,75.54932,0,3.84731,1.53021,2.88661,6.01589,13.52422,1.00000
1,24,40.17377,74.07612,0,3.47688,1.43574,2.56869,5.08254,10.88146,1.00000
1,25,38.09513,74.41132,0,3.28995,1.44874,2.66329,5.47574,12.28642,1.00000
1,26,37.17336,76.28838,0,5.06072,1.48106,2.74284,5.63555,12.54629,1.00000
1,27,38.24804,76.55045,0,2.52403,1.50050,2.82196,5.91547,13.48608,1.00000
1,28,37.34089,77.11240,0,1.84695,1.67394,3.43790,7.75393,18.69251,1.00000
1,29,33.65407,76.67244,0,1.81824,1.57887,3.10397,6.77303,15.95906,1.00000
1,30,33.35591,75.91744,0,1.29394,1.67497,3.46541,7.88774,19.19759,0.50000
1,31,34.05993,76.47092,0,1.73312,1.52445,2.91637,6.20793,14.31794,0.50000
2,21,34.42461,75.66603,0,2.49698,1.45803,2.67847,5.47230,12.14982,0.50002
2,22,34.14626,75.78860,0,1.78266,1.44700,2.62598,5.29781,11.60872,0.50014
3,30,25.39597,80.69512,0,0.98301,1.47068,2.70999,5.53658,12.23921,0.50000
3,31,24.92315,79.31485,0,1.70989,1.39024,2.41778,4.64141,9.63199,0.50000
3,32,25.36336,79.35068,0,2.69920,1.37704,2.36218,4.45645,9.06596,1.00000
3,33,25.70858,79.32770,0,3.02259,1.41857,2.50974,4.90012,10.33785,1.00000
3,34,24.60684,79.15811,0,1.99909,1.46392,2.67950,5.42834,11.89303,1.00000
3,35,23.85019,79.02371,0,2.38546,1.45186,2.63491,5.29552,11.51573,1.00000
3,36,23.88635,77.27251,0,1.73243,1.45385,2.65230,5.39503,11.95353,1.00000
3,37,24.23771,76.36772,0,1.79270,1.47755,2.73163,5.61875,12.54871,0.76367
3,38,25.80998,76.42422,0,3.39280,1.37027,2.35452,4.47328,9.21314,1.00000
3,39,25.62182,78.22171,0,1.95731,1.41584,2.47464,4.74694,9.78422,0.50098
3,40,25.31525,77.70853,0,2.07473,1.54883,2.94157,6.14417,13.78288,1.00000
3,41,26.55892,76.40794,0,2.84034,1.47837,2.72367,5.57154,12.36779,1.00000
3,42,24.27611,77.34471,0,1.70436,1.38898,2.44942,4.82660,10.40197,1.00000
3,43,23.30028,77.30081,0,2.90803,1.51408,2.81967,5.77795,12.73382,1.00000
3,44,22.58466,77.84054,0,2.79742,1.40471,2.48327,4.86894,10.35976,0.50557
3,45,22.24218,77.48191,0,3.58734,1.38661,2.39280,4.54896,9.33898,1.00000
3,46,23.20991,76.42661,0,3.54113,1.48839,2.72898,5.51734,12.02426,1.00000
3,47,24.10676,75.74081,0,3.42881,1.42419,2.53837,5.00712,10.69766,1.00000
3,48,23.32152,76.34698,0,3.30513,1.35312,2.28580,4.24010,8.46993,1.00000
3,49,23.28441,77.33468,0,2.73231,1.45210,2.62527,5.25766,11.41023,1.00000
3,50,23.96807,76.68649,0,3.06255,1.44544,2.59813,5.15437,11.03761,1.00000
3,51,23.30127,77.35294,0,2.74305,1.46033,2.66135,5.37327,11.74584,0.50244
3,52,22.14406,77.51817,0,3.52640,1.43017,2.54546,4.99961,10.60797,1.00000
3,53,20.63282,78.61469,0,3.25496,1.42024,2.50494,4.86426,10.18538,1.00000
3,54,21.12701,80.12641,0,2.80179,1.48812,2.73944,5.56054,12.16609,1.00000
3,55,20.40398,80.72427,0,2.79419,1.52319,2.87869,6.02219,13.60561,0.90598
3,56,21.16010,79.19480,0,3.66040,1.48502,2.73311,5.55573,12.19465,1.00000
3,57,21.19473,80.86845,0,3.75902,1.46438,2.66881,5.37795,11.71298,1.00000
3,58,20.56809,81.37720,0,3.31447,1.44222,2.59303,5.16139,11.12540,1.00000
3,59,20.64339,81.20402,0,3.48968,1.41002,2.47317,4.77615,9.94603,1.00000
3,60,19.29707,80.56078,0,2.99097,1.41017,2.47433,4.79072,10.02719,1.00000
3,61,19.83204,81.18355,0,2.75963,1.45391,2.64571,5.34032,11.68755,1.00000
4,63,29.85394,74.36093,0,3.10606,1.44058,2.59645,5.18067,11.19651,1.00000
4,64,30.05875,73.42729,0,2.73925,1.41382,2.50297,4.90229,10.40083,1.00000
4,65,30.96899,73.91757,0,2.88066,1.43187,2.57272,5.13998,11.16258,1.00000
4,66,32.18310,74.24683,0,2.67729,1.39005,2.39966,4.54764,9.26534,1.00000
5,67,42.82799,75.48551,0,1.61632,1.31193,2.16977,3.95778,7.81549,1.00000
5,68,42.47798,76.23432,0,1.37181,1.43473,2.56783,5.07943,10.86128,1.00000
5,69,42.42985,76.07344,0,1.61490,1.50149,2.81601,5.87327,13.29514,1.00000
5,70,41.70053,74.73931,0,1.51972,1.61423,3.23458,7.18343,17.19613,0.81801
6,70,21.57233,82.21212,0,1.44311,1.60378,3.17817,6.95428,16.36475,0.81801
6,71,21.29235,81.56558,0,1.81463,1.50277,2.80039,5.77421,12.86508,1.00000
6,72,18.88375,81.58936,0,2.05225,1.41862,2.50764,4.90694,10.40449,1.00000
6,73,20.45470,80.83887,0,1.55680,1.63378,3.26716,7.22088,17.16965,1.00000
7,75,21.38322,82.25413,0,1.98314,1.54731,2.94841,6.20091,14.05684,1.00000
7,76,22.09021,82.53732,0,1.91020,1.58769,3.10434,6.70078,15.56005,1.00000
7,77,22.40416,83.73817,0,2.31476,1.55395,3.00623,6.45110,14.95750,1.00000
7,78,22.54123,84.15218,0,1.94488,1.59548,3.16398,6.94388,16.41646,0.50000
8,78,45.20469,75.15137,0,1.58941,1.38609,2.39259,4.58042,9.53691,0.50000
8,79,45.59424,73.56954,0,1.52194,1.51925,2.85058,5.89891,13.14394,1.00000
8,80,45.31406,74.05927,0,2.27249,1.44292,2.61836,5.28895,11.62039,1.00000
8,81,44.58186,75.44809,0,2.11523,1.43206,2.57315,5.14820,11.21631,1.00000
8,82,44.11027,75.39059,0,3.07323,1.36144,2.31521,4.32784,8.71448,1.00000
8,83,43.70737,75.17812,0,2.88663,1.43010,2.55406,5.04642,10.79673,1.00000
8,84,44.96602,73.28508,0,2.74314,1.51820,2.85028,5.91787,13.26426,1.00000
8,85,47.42677,72.26268,0,3.89494,1.41710,2.49221,4.81332,9.99388,1.00000
8,86,47.54883,71.06175,0,4.73245,1.44386,2.58466,5.09882,10.84318,1.00000
9,87,29.83227,68.80907,0,3.71502,1.44446,2.57708,5.05749,10.68370,1.00000
9,88,29.40334,67.62502,0,3.58107,1.38598,2.39720,4.55998,9.34670,0.52675
9,89,29.23508,66.80543,0,3.42007,1.49150,2.74057,5.53334,11.99945,1.00000
9,90,28.43621,65.37447,0,3.17390,1.35895,2.32036,4.37950,8.96383,0.50000
9,91,28.66753,66.47031,0,3.17619,1.39660,2.42680,4.63628,9.54150,0.50092
9,92,27.95001,66.99586,0,4.35759,1.49750,2.79710,5.79098,12.97081,1.00000
9,93,27.82670,65.49310,0,3.95087,1.41762,2.51397,4.94110,10.54049,1.00000
10,95,28.26687,65.39004,0,3.66372,1.43535,2.55573,5.01370,10.60930,1.00000
10,96,27.55332,67.15543,0,4.68607,1.44704,2.60620,5.18966,11.18015,1.00000
10,97,27.46986,65.86195,0,4.00644,1.49827,2.77588,5.66450,12.43932,1.00000
10,98,27.57846,66.06011,0,3.94877,1.45661,2.64699,5.31864,11.55192,1.00000
10,99,27.83220,66.16354,0,4.61623,1.42473,2.52100,4.92353,10.39215,1.00000
10,100,28.68524,66.78273,0,1.67100,1.53686,2.93940,6.24348,14.35368,1.00000
