Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,32.26129,50.12739,0,2.72860,1.41971,2.53020,4.99228,10.66661,0.50088
1,1,32.74512,50.23871,0,2.03987,1.41429,2.49897,4.87785,10.30214,0.50000
1,2,32.70058,48.93190,0,1.91142,1.43466,2.56926,5.08365,10.87439,0.50002
1,3,31.56651,48.50534,0,2.28624,1.37577,2.33516,4.32972,8.59273,1.00000
1,4,31.30173,49.70260,0,2.05896,1.39059,2.40762,4.59245,9.45948,0.50017
2,0,29.48043,140.17323,0,2.37985,1.44596,2.60219,5.18805,11.20764,0.50088
2,1,29.61233,140.00566,0,2.55255,1.57522,3.07309,6.62896,15.39216,0.50000
2,2,30.41430,140.21613,0,2.03012,1.55317,3.00922,6.46832,15.02129,0.50002
3,4,30.70855,139.19316,0,2.26032,1.47584,2.75322,5.73478,13.00051,0.50017
3,5,31.54010,138.04858,0,2.58711,1.49002,2.77834,5.74621,12.85996,1.00000
3,6,32.40048,139.02365,0,2.33815,1.53114,2.89913,6.06987,13.70864,1.00000
3,7,31.76875,139.41777,0,2.30450,1.57079,3.03766,6.48372,14.88931,1.00000
3,8,31.30662,139.53050,0,2.09573,1.45798,2.64415,5.31061,11.55321,1.00000
3,9,31.22963,139.12244,0,2.11523,1.47028,2.70418,5.52653,12.25601,1.00000
3,10,30.74155,140.35609,0,1.55384,1.59950,3.16057,6.89157,16.14698,1.00000
3,11,30.21796,138.75624,0,2.07347,1.48153,2.70739,5.45307,11.83778,1.00000
3,12,28.51665,137.05302,0,3.54727,1.63165,3.25213,7.12667,16.73607,1.00000
3,13,27.46911,135.34081,0,5.17404,1.47431,2.70372,5.49254,12.08172,1.00000
3,14,27.38238,135.47955,0,6.50967,1.41839,2.50860,4.90244,10.36926,1.00000
3,15,29.42817,135.80757,0,3.54938,1.48720,2.74169,5.57864,12.24226,1.00000
3,16,30.27812,136.82036,0,2.33613,1.47498,2.67814,5.36147,11.57870,1.00000
3,17,30.36210,136.34093,0,2.75179,1.44577,2.61050,5.22770,11.35669,1.00000
3,18,29.85472,136.73288,0,2.52477,1.54416,2.95904,6.27046,14.32295,0.50000
3,19,30.94341,137.22676,0,2.37650,1.47301,2.71042,5.54199,12.30071,0.50000
3,20,30.82166,137.53667,0,2.60315,1.47167,2.70408,5.50980,12.16378,0.50000
3,21,31.02212,137.96732,0,2.20123,1.56492,3.04852,6.58660,15.36809,1.00000
3,22,29.58996,137.83310,0,3.36924,1.44761,2.60581,5.17435,11.08398,1.00000
3,23,28.65614,138.08522,0,4.06390,1.46787,2.68776,5.45150,11.96471,1.00000
3,24,27.59207,138.63870,0,3.50989,1.44932,2.60061,5.13460,10.91494,1.00000
3,25,27.02956,137.79361,0,3.39789,1.45957,2.66253,5.38385,11.79029,1.00000
3,26,26.61276,138.03580,0,4.11380,1.49473,2.79150,5.77826,12.93422,1.00000
3,27,27.37479,137.73308,0,3.42234,1.50662,2.81879,5.84606,13.12242,1.00000
3,28,27.59036,136.75557,0,3.85274,1.47405,2.70513,5.50461,12.13792,1.00000
3,29,27.30624,137.36807,0,3.35318,1.55426,2.98515,6.32527,14.42213,1.00000
3,30,28.49691,139.68484,0,2.05178,1.60876,3.16767,6.86007,15.93566,1.00000
3,31,30.63281,140.56989,0,1.65696,1.47832,2.79938,5.95636,13.84181,1.00000
3,32,31.24696,140.77168,0,1.61457,1.56003,3.01888,6.47765,15.01556,1.00000
3,33,31.53604,141.51051,0,1.53517,1.58171,3.10523,6.76487,15.92435,1.00000
3,34,31.66824,142.39122,0,1.21261,1.60699,3.23500,7.23860,17.48071,1.00000
3,35,32.31214,143.13863,0,1.97842,1.49991,2.80817,5.82718,13.07386,1.00000
3,36,33.25115,143.09203,0,3.00597,1.48882,2.74607,5.60546,12.36753,1.00000
3,37,32.76908,143.33273,0,2.64910,1.38440,2.39804,4.59747,9.56548,1.00000
3,38,32.82566,143.18779,0,2.48841,1.41417,2.50049,4.88838,10.34072,1.00000
3,39,32.82616,142.28984,0,2.35026,1.44657,2.62524,5.28693,11.54535,1.00000
3,40,32.84205,142.41405,0,2.44759,1.42759,2.54653,5.01286,10.65516,1.00000
3,41,32.32445,142.66660,0,2.43401,1.43085,2.54881,5.01501,10.66809,1.00000
3,42,32.60738,142.96869,0,2.74536,1.41852,2.53555,5.03181,10.83852,1.00000
3,43,33.25801,143.81474,0,2.93438,1.48011,2.72431,5.55428,12.25913,1.00000
3,44,32.97256,143.99953,0,2.21821,1.53373,2.92370,6.16486,14.02306,1.00000
3,45,32.91745,144.97520,0,2.78420,1.50669,2.82737,5.87892,13.21232,1.00000
3,46,33.46629,145.02521,0,2.54668,1.47900,2.71871,5.52730,12.13753,1.00000
3,47,33.31632,145.54236,0,2.82870,1.46948,2.68612,5.43185,11.88423,1.00000
3,48,33.33698,146.12262,0,2.53637,1.47679,2.71947,5.55615,12.30775,1.00000
3,49,33.48071,146.53555,0,3.10155,1.38639,2.38475,4.49899,9.12334,1.00000
3,50,33.35762,146.19107,0,3.31140,1.41724,2.50417,4.89365,10.36182,1.00000
3,51,33.30272,146.38792,0,3.91914,1.40519,2.44242,4.65494,9.53129,1.00000
