Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,128.32025,73.01284,0,2.38022,1.42128,2.52005,4.93522,10.44200,0.49549
1,1,128.26591,72.09486,0,2.18929,1.40591,2.46388,4.76533,9.96215,0.34255
1,2,128.27950,73.03256,0,3.61825,1.43563,2.56541,5.05756,10.75944,0.52982
1,3,128.38596,72.48283,0,4.24963,1.39553,2.40665,4.54094,9.18432,0.50000
1,4,128.22275,72.55257,0,3.18040,1.41909,2.49220,4.80141,9.93556,0.33333
1,5,128.31747,73.59252,0,3.71333,1.39414,2.40235,4.53234,9.17068,0.50000
1,6,128.25610,74.06516,0,3.38675,1.42822,2.53503,4.95821,10.45324,0.33333
1,7,128.62303,75.47054,0,3.01111,1.39100,2.39709,4.53053,9.20417,0.50000
1,8,128.76173,76.45060,0,2.47949,1.41848,2.49568,4.82956,10.06686,0.34561
1,9,128.56851,76.47959,0,2.25789,1.38831,2.38740,4.49865,9.10009,0.44951
1,10,128.64217,77.16207,0,2.68266,1.41982,2.51613,4.92931,10.44720,0.35015
1,11,128.52448,76.18913,0,2.74542,1.41245,2.48339,4.80837,10.03646,0.45953
1,12,128.47720,75.47189,0,3.47166,1.36534,2.31027,4.26907,8.43983,0.50000
1,13,128.50523,75.44918,0,3.34483,1.35824,2.29792,4.26218,8.49663,0.84755
1,14,129.21677,75.11930,0,3.74896,1.39706,2.43163,4.65948,9.62294,0.33344
1,15,128.46060,73.90143,0,3.55822,1.43747,2.56335,5.03389,10.65622,0.33339
1,16,128.39752,74.52851,0,3.21516,1.33118,2.20042,3.96510,7.63231,0.64784
1,17,128.40117,74.40202,0,3.46521,1.38607,2.37736,4.45961,8.96195,0.25000
1,18,128.29999,74.33665,0,3.13143,1.34363,2.24264,4.09204,7.99800,0.50000
2,0,68.08244,107.32028,0,2.34601,1.42213,2.52586,4.96231,10.55636,0.49115
2,1,68.32114,107.81791,0,2.31926,1.43367,2.55154,5.00902,10.61541,0.47426
3,0,152.93451,181.30830,0,2.19699,1.50097,2.79991,5.77853,12.88112,0.25286
3,1,153.20848,181.57230,0,2.41954,1.42129,2.49674,4.81139,9.95940,0.52634
