Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,44.12555,66.28887,0,3.31476,1.55041,2.94707,6.15283,13.77999,0.50000
1,1,44.12798,66.63689,0,3.28007,1.48814,2.73607,5.54633,12.11544,0.50000
1,2,44.20356,65.86966,0,3.20812,1.38838,2.39365,4.53756,9.26392,0.86674
1,3,44.22868,65.52038,0,2.98184,1.32926,2.21894,4.08288,8.12659,0.33333
1,4,45.75429,65.05074,0,3.43533,1.39766,2.45409,4.77100,10.05093,0.50005
1,5,45.82376,65.08943,0,3.43005,1.40983,2.49959,4.92403,10.54623,0.33333
1,6,45.81461,65.17130,0,2.90035,1.43408,2.56455,5.07494,10.87101,0.92353
1,7,45.76435,65.01148,0,2.58807,1.48687,2.73392,5.55028,12.15511,1.00000
1,8,46.61885,64.39769,0,3.34490,1.45265,2.58771,5.03988,10.50126,1.00000
1,9,46.84108,64.71338,0,1.60159,1.37934,2.37902,4.52737,9.31684,0.33357
1,10,47.86689,64.44412,0,1.79654,1.37887,2.38928,4.59182,9.59740,0.50000
1,11,47.40014,64.79209,0,1.52399,1.47311,2.75952,5.76413,13.07463,0.50820
2,0,66.70242,146.06311,0,2.85778,1.46757,2.67768,5.40370,11.78429,0.50000
2,1,66.16187,144.94553,0,3.73266,1.41034,2.47771,4.79610,10.00877,0.50000
2,2,66.31435,144.89330,0,3.26555,1.40424,2.44751,4.70143,9.75703,0.86674
2,3,66.77587,145.12997,0,3.38621,1.42862,2.54305,4.99867,10.61303,0.33333
2,4,67.48456,145.45361,0,3.06616,1.33242,2.23456,4.13891,8.31266,0.50005
2,5,67.74987,144.17529,0,2.70432,1.42684,2.53695,4.97257,10.50973,0.37260
3,5,75.58173,150.57722,0,2.66184,1.36623,2.33454,4.38829,8.89794,0.37260
3,6,74.45885,149.70744,0,2.84868,1.42808,2.53906,5.00195,10.69323,0.92353
4,9,73.71333,151.08661,0,1.16447,1.47075,2.73136,5.64079,12.63103,0.33372
4,10,73.56327,150.60477,0,2.26579,1.33695,2.21980,4.02849,7.83666,0.50000
4,11,73.41040,150.26952,0,1.72133,1.43950,2.55149,4.97294,10.42949,0.50820
4,12,72.80693,150.61658,0,1.72665,1.39886,2.43766,4.67633,9.66737,0.72897
4,13,74.77841,150.67259,0,1.61312,1.42994,2.54376,4.99425,10.58174,0.50025
4,14,76.03859,150.30652,0,1.96041,1.39037,2.43027,4.70166,9.85211,0.89621
4,15,77.94242,149.46150,0,1.15772,1.57494,3.06373,6.58754,15.26590,0.50000
5,13,48.63071,64.07330,0,1.74613,1.52362,2.90989,6.17302,14.17175,0.50025
5,14,49.08400,64.26113,0,1.94305,1.41319,2.49624,4.87457,10.30354,0.89621
5,15,48.29532,64.05273,0,1.67644,1.38363,2.39049,4.55135,9.34822,0.50000
5,16,46.78528,63.79258,0,1.54663,1.34395,2.25441,4.14146,8.16597,0.50000
5,17,46.56961,63.56652,0,1.48468,1.47065,2.70760,5.54023,12.30266,0.50012
5,18,46.72723,62.47057,0,2.53943,1.38538,2.39616,4.56300,9.37084,1.00000
5,19,46.88215,62.65455,0,2.11274,1.39379,2.44813,4.78216,10.17420,1.00000
5,20,46.63893,63.07834,0,1.63292,1.39649,2.44876,4.76773,10.09127,1.00000
5,21,46.33204,63.24434,0,1.48797,1.35337,2.30250,4.35421,8.98576,0.50000
5,22,46.37664,63.40523,0,2.05334,1.34381,2.25175,4.13285,8.14757,1.00000
5,23,47.38757,63.50542,0,1.87892,1.47529,2.71449,5.54182,12.26775,1.00000
5,24,47.29422,64.07000,0,1.51197,1.41037,2.50364,4.93899,10.59040,0.50000
5,25,47.72053,63.41636,0,2.00623,1.48781,2.73952,5.58898,12.34497,1.00000
5,26,48.90799,63.02284,0,3.05013,1.45434,2.64686,5.34284,11.68717,1.00000
5,27,48.70584,63.46521,0,3.23303,1.34409,2.25592,4.16208,8.28171,1.00000
5,28,49.43610,63.56004,0,3.11695,1.36513,2.31657,4.31647,8.66075,1.00000
5,29,49.22963,63.47322,0,4.13986,1.43569,2.55987,5.04183,10.74068,1.00000
5,30,49.65741,63.49305,0,3.36738,1.38003,2.36404,4.43492,8.92046,1.00000
5,31,49.56313,65.43719,0,3.06592,1.41717,2.50436,4.88983,10.32858,0.50000
5,32,48.85280,65.79065,0,1.80672,1.43407,2.57563,5.11717,10.99755,0.50000
5,33,49.36762,65.71729,0,1.83185,1.43072,2.53854,4.97540,10.54618,0.34646
5,34,50.57219,66.62740,0,1.84405,1.55864,2.99034,6.34066,14.48990,0.33333
5,35,49.13489,67.54932,0,2.35630,1.44910,2.61069,5.19850,11.19300,0.50000
5,36,48.69117,67.52689,0,2.59034,1.39993,2.44278,4.70130,9.77367,0.50075
5,37,48.08757,68.21442,0,2.63463,1.45087,2.62079,5.24001,11.34173,0.50000
5,38,48.28148,68.40527,0,1.97930,1.35345,2.27473,4.18600,8.26948,0.50000
5,39,48.17912,68.30073,0,1.41839,1.38325,2.37905,4.49340,9.12520,0.50000
6,16,66.74364,142.04253,0,1.03201,1.43007,2.61641,5.35976,11.98768,0.50000
6,17,67.86031,141.70015,0,1.08228,1.44702,2.63696,5.33494,11.70033,0.50012
7,31,55.11012,76.29826,0,2.56213,1.38963,2.41170,4.60773,9.48731,0.50000
7,32,55.23290,76.01540,0,2.86135,1.44369,2.61040,5.23120,11.36190,0.50000
7,33,54.74208,75.20663,0,2.08639,1.41095,2.48253,4.83342,10.19852,0.34450
7,34,54.97391,75.90491,0,2.26825,1.46133,2.67614,5.42808,11.90856,0.33333
7,35,54.19350,76.16187,0,3.13043,1.39951,2.44118,4.68596,9.69170,0.50000
7,36,53.95706,75.81618,0,2.60212,1.50574,2.80325,5.74835,12.67379,0.50075
