Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,32.01012,38.10305,0,1.26903,1.63826,3.33584,7.51351,18.19240,0.64576
1,1,30.99232,36.75182,0,0.92029,1.59006,3.14598,6.88092,16.19557,0.33633
1,2,31.47774,37.94983,0,0.87395,1.47493,2.75579,5.76413,13.14843,0.33342
2,0,36.50592,39.35727,0,1.28336,1.63039,3.30281,7.39211,17.76181,0.64576
2,1,36.98893,39.64944,0,1.36976,1.50573,2.82863,5.87149,13.13374,0.33333
2,2,37.76706,39.46895,0,1.22920,1.54703,2.95550,6.24647,14.24663,0.33342
2,3,37.45798,40.31373,0,1.40555,1.57674,3.08023,6.68018,15.66237,1.00000
2,4,38.11083,40.60771,0,1.56918,1.51249,2.85540,5.99288,13.64006,0.50000
3,0,89.73501,110.11643,0,1.72794,1.35361,2.28528,4.23830,8.46267,0.33333
3,1,88.41777,109.33900,0,0.84489,1.51727,2.84843,5.90588,13.21753,0.33633
4,4,33.32070,40.52559,0,1.22014,1.65959,3.43062,7.83126,19.16158,0.50000
4,5,33.57890,40.49782,0,1.77587,1.60719,3.17324,6.91157,16.18770,1.00000
4,6,33.86843,40.44797,0,1.83730,1.64496,3.31716,7.37189,17.58219,0.50000
5,6,38.29250,39.73838,0,1.27023,1.65753,3.36370,7.50257,17.89986,0.50000
5,7,37.12898,40.42938,0,2.46540,1.66426,3.36448,7.46435,17.72127,1.00000
5,8,36.86054,41.20936,0,2.71435,1.57363,3.05508,6.55101,15.12818,1.00000
5,9,37.34214,41.51854,0,2.36142,1.76876,3.73077,8.56676,20.89280,1.00000
5,10,36.39796,42.42944,0,2.45730,1.56975,3.04814,6.53752,15.09776,1.00000
5,11,37.13764,41.63571,0,2.55735,1.60094,3.12124,6.67484,15.28030,1.00000
5,12,37.22255,43.31158,0,2.22983,1.71731,3.54706,8.00142,19.22734,1.00000
5,13,37.60907,42.91862,0,2.33105,1.41638,2.52498,5.01312,10.84735,1.00000
5,14,38.29132,43.21843,0,3.38850,1.46015,2.66072,5.36579,11.70398,1.00000
5,15,38.33515,42.40839,0,3.18193,1.48013,2.71063,5.47901,11.94937,1.00000
5,16,37.94656,41.69340,0,2.80346,1.53420,2.91323,6.11961,13.87687,1.00000
5,17,38.41385,40.38201,0,2.57528,1.56023,2.98784,6.29597,14.24141,0.50000
5,18,39.73967,38.71345,0,2.58955,1.39499,2.42201,4.62233,9.49599,0.50000
5,19,40.50252,38.35102,0,2.77593,1.33891,2.26585,4.24278,8.62408,0.50000
5,20,40.57430,39.59718,0,3.88217,1.64727,3.28926,7.19633,16.81638,1.00000
5,21,39.58316,38.52495,0,3.21258,1.57373,3.04028,6.46229,14.73164,1.00000
5,22,37.30867,38.42099,0,2.05536,1.49156,2.77352,5.70346,12.65365,0.36350
5,23,37.01746,36.66987,0,1.48705,1.47720,2.75786,5.73367,12.93218,0.37758
5,24,36.11102,37.12860,0,1.34268,1.48352,2.72441,5.52330,12.07722,0.65774
6,17,42.34921,42.63569,0,1.74216,1.67552,3.43591,7.74058,18.64035,0.50000
6,18,42.62274,43.24930,0,1.49732,1.53555,2.99179,6.50895,15.34832,0.50000
6,19,42.19640,42.87747,0,2.38279,1.49202,2.79809,5.80680,12.99008,0.50000
7,22,42.29882,41.63636,0,2.22538,1.44930,2.63514,5.31966,11.65910,0.36349
