Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
62,0,320.454,431.407,0,1.548,1.468,2.729,5.688,12.955,0.037
62,1,320.831,431.563,0,2.382,1.307,2.139,3.833,7.372,0.013
62,2,320.768,431.735,0,1.929,1.502,2.803,5.781,12.879,0.036
63,0,299.009,432.73,0,1.559,1.447,2.624,5.287,11.561,0.042
63,1,298.57,432.589,0,1.796,1.449,2.649,5.407,12.037,0.053
63,2,298.775,432.633,0,1.897,1.405,2.463,4.768,9.979,0.041
78,0,330.742,446.382,0,1.535,1.32,2.184,3.952,7.673,0.058
78,1,330.966,446.494,0,1.214,1.404,2.513,5.043,11.081,0.034
88,0,284.11,462.351,0,2.149,1.482,2.736,5.592,12.363,0.03
88,1,284.393,461.557,0,1.992,1.58,3.089,6.664,15.46,0.012
88,2,285.457,461.607,0,2.04,1.518,2.884,6.105,14.018,0.036
88,3,284.84,461.635,0,1.745,1.474,2.676,5.339,11.454,0.049
88,4,285.198,461.238,0,1.819,1.537,2.901,6.012,13.352,0.024
95,0,308.857,466.448,0,1.621,1.283,2.105,3.855,7.757,0.045
95,1,308.789,466.768,0,1.517,1.33,2.223,4.094,8.15,0.056
95,2,309.09,467.61,0,1.301,1.43,2.592,5.26,11.665,0.034
95,3,309.455,466.6,0,1.258,1.28,2.109,3.889,7.904,0.038
97,0,272.199,469.169,0,1.336,1.345,2.295,4.381,9.18,0.062
97,1,272.368,469.553,0,1.534,1.389,2.437,4.747,10.041,0.068
104,0,343.269,478.724,0,1.37,1.299,2.168,4.026,8.168,0.05
104,1,343.167,478.583,0,1.237,1.29,2.099,3.755,7.261,0.045
104,2,343.099,478.406,0,1.233,1.211,1.859,3.125,5.665,0.028
108,0,295.244,484.009,0,2.341,1.454,2.641,5.309,11.552,0.029
108,1,294.705,483.911,0,2.589,1.428,2.537,4.966,10.485,0.017
108,2,294.843,483.297,0,2.027,1.364,2.34,4.43,9.073,0.048
108,3,295.172,482.616,0,2.026,1.496,2.784,5.734,12.761,0.029
108,4,295.629,483.079,0,1.84,1.467,2.687,5.457,12.005,0.047
109,0,312.53,485.055,0,1.208,1.367,2.373,4.553,9.44,0.045
