Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,76.83215,12.11604,0,2.75026,1.54116,2.95496,6.27993,14.41942,0.25000
1,1,75.66567,12.62269,0,2.64729,1.38155,2.37294,4.47903,9.10556,0.49352
1,2,76.32590,12.53374,0,1.86251,1.41863,2.53305,5.02429,10.83019,0.50000
1,3,76.64534,11.79656,0,2.21417,1.46863,2.67920,5.39788,11.74218,0.39238
2,0,141.25090,48.66023,0,2.31809,1.42549,2.51430,4.87508,10.17874,0.25001
2,1,140.47783,48.10688,0,2.12239,1.36312,2.32995,4.39673,8.97818,0.33333
3,0,161.20064,119.10686,0,1.85800,1.44282,2.57630,5.06683,10.74005,0.38771
3,1,160.24332,118.29918,0,2.67377,1.41643,2.49107,4.81640,10.02162,0.49352
3,2,159.74025,118.84454,0,4.41549,1.43643,2.57132,5.08711,10.88259,0.50000
3,3,160.59081,119.13145,0,2.39274,1.49584,2.77451,5.69650,12.64520,0.37653
4,3,141.27742,46.57352,0,2.22072,1.39968,2.43305,4.65097,9.57707,0.34963
4,4,141.35951,46.03722,0,2.06870,1.37879,2.39539,4.62705,9.73542,0.33333
4,5,141.16852,48.01097,0,1.69744,1.43693,2.57988,5.12909,11.04188,0.35570
4,6,141.15843,47.86520,0,2.18687,1.38189,2.38810,4.56154,9.43988,0.26596
4,7,141.54704,47.60496,0,2.66165,1.35530,2.29576,4.27929,8.61074,0.33342
4,8,141.67766,47.29705,0,2.44567,1.38277,2.38329,4.51811,9.23039,0.33405
4,9,140.85902,47.55626,0,2.18328,1.41237,2.47683,4.78418,9.96958,0.33333
5,5,163.45900,117.60497,0,1.45489,1.40186,2.47563,4.87981,10.51344,0.67592
5,6,164.43343,116.46176,0,1.61287,1.28786,2.07759,3.65791,6.89366,0.28502
6,6,11.03255,149.24043,0,2.17629,1.44972,2.62244,5.24857,11.35904,0.26596
6,7,10.84062,149.39661,0,2.20439,1.45422,2.64358,5.32189,11.59992,0.40780
6,8,11.03667,150.36279,0,2.84320,1.43294,2.58372,5.17842,11.28023,0.44115
6,9,10.46683,151.13855,0,3.36698,1.46124,2.64828,5.30163,11.46929,0.33333
6,10,8.62308,150.88654,0,2.92848,1.48061,2.69960,5.40506,11.62113,0.50066
7,7,30.61451,139.96480,0,2.36132,1.43633,2.57043,5.07748,10.83214,0.40788
7,8,31.21513,139.90221,0,2.79162,1.40081,2.44259,4.68700,9.68883,0.44184
7,9,30.76014,141.08679,0,2.72453,1.40362,2.46348,4.78434,10.06933,0.33333
7,10,30.33099,141.48981,0,2.83811,1.37429,2.34682,4.39091,8.82116,0.50066
7,11,29.19342,141.70860,0,1.99031,1.46958,2.67266,5.36319,11.61590,0.33346
7,12,28.34566,142.65581,0,1.63134,1.36494,2.31604,4.31676,8.66317,0.31544
7,13,27.26208,141.26135,0,2.20289,1.44252,2.58655,5.11235,10.89475,0.52377
8,11,161.49118,117.75355,0,1.80915,1.69050,3.44709,7.68513,18.26484,0.33333
8,12,161.42619,117.48526,0,1.75935,1.45238,2.62424,5.22170,11.18479,0.25269
8,13,161.39214,116.42360,0,2.10334,1.44954,2.62241,5.26157,11.45677,0.52377
8,14,160.88603,115.46626,0,2.49267,1.41429,2.49314,4.83850,10.11445,0.25000
8,15,160.99353,114.44072,0,2.20785,1.41925,2.50760,4.88897,10.29324,0.25078
8,16,161.18703,115.20686,0,2.23387,1.42749,2.52466,4.91054,10.28071,0.33603
8,17,161.93918,115.92553,0,1.73187,1.44003,2.59220,5.15959,11.10299,0.36358
8,18,162.92218,115.71146,0,1.38751,1.34361,2.27683,4.25648,8.60789,0.25102
8,19,163.29849,116.78567,0,1.60513,1.36831,2.34252,4.42777,9.05723,0.33761
9,12,33.34421,131.41798,0,2.30115,1.45501,2.61634,5.18265,11.06601,0.25000
9,13,33.52625,131.27003,0,2.89015,1.39197,2.39987,4.53362,9.19215,0.33333
9,14,33.69508,130.75415,0,1.92205,1.40210,2.46984,4.82134,10.21096,0.25002
10,14,140.29724,48.71937,0,1.51934,1.35743,2.30655,4.30633,8.65334,0.48231
10,15,140.90443,48.63539,0,1.71772,1.45496,2.63916,5.29162,11.46663,0.28876
10,16,140.65953,48.91945,0,1.63165,1.39720,2.43443,4.67889,9.71311,0.33360
11,15,43.76508,116.47204,0,1.86817,1.42078,2.51805,4.92057,10.37550,0.28950
11,16,43.50249,116.31841,0,1.99360,1.36962,2.32810,4.34130,8.70671,0.33630
11,17,44.53429,116.46554,0,2.40106,1.40832,2.46591,4.74792,9.84652,0.33334
11,18,44.76375,115.49563,0,1.71369,1.46108,2.63348,5.22244,11.15058,0.32592
