Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,41.588,59.558,0,3.155,1.360,2.355,4.569,9.733,0.144
1,1,47.495,62.362,0,3.121,1.426,2.525,4.923,10.351,0.101
1,2,48.174,63.089,0,2.845,1.486,2.811,5.933,13.616,0.083
1,3,48.767,62.103,0,3.015,1.394,2.456,4.792,10.127,0.079
2,0,68.547,65.607,0,2.624,1.441,2.682,5.628,12.934,0.100
2,1,66.756,65.734,0,2.969,1.344,2.267,4.230,8.565,0.101
3,0,151.302,147.317,0,3.777,1.467,2.669,5.382,11.764,0.100
3,1,152.237,148.243,0,4.231,1.406,2.478,4.829,10.183,0.100
3,2,151.922,148.476,0,3.531,1.521,2.868,5.996,13.544,0.085
4,0,124.560,157.820,0,4.674,1.543,2.946,6.207,14.078,0.100
4,1,125.514,156.169,0,3.997,1.493,2.784,5.765,12.958,0.100
5,0,206.491,185.055,0,3.139,1.495,2.831,5.963,13.611,0.102
5,1,205.795,184.692,0,3.100,1.506,2.866,6.076,13.997,0.100
5,2,207.818,185.104,0,3.002,1.397,2.446,4.746,10.010,0.089
5,3,207.223,185.503,0,3.292,1.393,2.518,5.146,11.598,0.079
5,4,208.431,184.849,0,2.554,1.355,2.348,4.562,9.726,0.085
6,0,236.040,215.479,0,4.386,1.429,2.582,5.210,11.466,0.100
6,1,237.393,215.511,0,3.656,1.393,2.434,4.723,9.967,0.100
6,2,237.516,216.917,0,2.441,1.405,2.529,5.113,11.332,0.216
6,3,236.830,218.044,0,2.674,1.389,2.445,4.773,10.105,0.090
7,1,248.320,180.436,0,2.570,1.458,2.749,5.852,13.663,0.100
7,2,247.346,182.445,0,2.520,1.408,2.501,4.945,10.646,0.228
8,2,82.596,106.813,0,3.318,1.457,2.669,5.416,11.888,0.092
8,3,83.546,106.172,0,2.301,1.335,2.272,4.315,8.981,0.088
8,4,83.237,106.708,0,2.384,1.460,2.689,5.448,11.847,0.071
9,2,155.812,183.601,0,4.500,1.438,2.597,5.213,11.368,0.083
9,3,155.279,183.500,0,3.691,1.334,2.246,4.169,8.362,0.077
9,4,155.670,183.977,0,3.693,1.547,2.945,6.175,13.929,0.063
9,5,154.899,183.361,0,3.145,1.434,2.574,5.139,11.174,0.097
10,2,244.799,212.734,0,3.234,1.392,2.465,4.889,10.634,0.096
10,3,244.678,212.996,0,3.316,1.484,2.813,5.961,13.734,0.086
10,4,244.349,213.893,0,4.067,1.425,2.561,5.153,11.341,0.063
10,5,244.550,213.850,0,3.910,1.372,2.334,4.353,8.731,0.087
10,6,244.339,213.430,0,4.518,1.454,2.598,5.087,10.694,0.100
10,7,244.265,213.179,0,3.420,1.353,2.356,4.588,9.787,0.060
10,8,243.398,212.882,0,3.659,1.398,2.476,4.868,10.402,0.143
10,9,243.546,213.272,0,3.665,1.324,2.252,4.271,8.848,0.077
10,10,244.002,213.072,0,3.927,1.468,2.713,5.577,12.428,0.077
10,11,244.209,213.182,0,3.936,1.375,2.354,4.430,8.979,0.145
