Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
234,205,19.294,95.519,0,4.656,1.430,2.575,5.165,11.278,0.143
234,206,18.555,95.891,0,3.766,1.373,2.371,4.572,9.659,0.112
234,207,18.368,96.803,0,6.459,1.482,2.713,5.459,11.805,0.167
234,208,18.419,96.474,0,4.901,1.457,2.649,5.337,11.637,0.155
235,205,55.717,116.407,0,3.845,1.392,2.438,4.719,9.876,0.143
235,206,54.582,116.262,0,3.367,1.301,2.159,3.982,8.017,0.111
236,207,197.332,43.237,0,4.186,1.417,2.520,4.976,10.676,0.202
236,208,197.680,44.302,0,4.669,1.461,2.662,5.354,11.601,0.247
237,208,78.361,45.090,0,3.818,1.412,2.522,5.001,10.778,0.151
237,209,78.527,45.600,0,3.596,1.305,2.185,4.082,8.365,0.200
238,208,47.200,102.185,0,3.772,1.339,2.287,4.368,9.150,0.151
238,209,47.904,101.681,0,4.914,1.510,2.821,5.791,12.767,0.200
239,209,4.302,68.277,0,7.341,1.646,3.289,7.205,16.891,0.200
239,210,4.611,68.914,0,7.500,1.623,3.230,7.090,16.715,0.333
239,211,5.180,62.673,0,5.741,1.560,3.056,6.668,15.751,0.250
240,212,3.682,51.884,0,3.991,1.349,2.317,4.428,9.218,0.200
240,213,3.295,51.973,0,3.938,1.447,2.700,5.665,12.986,0.150
241,213,3.276,11.829,0,3.908,1.405,2.516,5.068,11.210,0.159
241,214,3.776,13.230,0,4.080,1.362,2.316,4.353,8.874,0.167
241,215,2.719,12.378,0,3.610,1.377,2.420,4.761,10.267,0.125
242,213,20.262,51.434,0,4.095,1.388,2.401,4.588,9.481,0.137
242,214,18.808,51.019,0,3.315,1.336,2.268,4.279,8.790,0.167
242,215,18.733,51.653,0,4.904,1.322,2.197,4.018,7.933,0.125
242,216,18.353,52.421,0,5.623,1.420,2.514,4.936,10.535,0.258
242,217,18.761,51.718,0,4.377,1.379,2.391,4.591,9.567,0.511
242,218,18.484,51.313,0,5.042,1.326,2.223,4.107,8.196,0.143
243,214,58.584,56.850,0,3.745,1.237,1.990,3.597,7.210,0.167
243,215,58.253,56.628,0,4.410,1.468,2.677,5.418,11.884,0.310
243,216,57.619,57.456,0,4.865,1.449,2.604,5.169,11.077,0.200
244,215,99.175,28.947,0,4.536,1.472,2.681,5.370,11.564,0.279
244,216,98.829,28.702,0,5.460,1.431,2.549,5.025,10.732,0.250
244,217,99.224,28.032,0,4.377,1.383,2.410,4.652,9.731,0.535
