Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,283.562,19.857,0,5.542,1.426,2.541,5.032,10.833,0.063
1,1,282.444,19.989,0,5.605,1.402,2.489,4.930,10.658,0.061
1,2,284.155,19.370,0,5.536,1.484,2.736,5.586,12.342,0.102
1,3,282.917,19.515,0,6.394,1.392,2.441,4.770,10.162,0.066
1,4,282.022,18.484,0,6.701,1.404,2.478,4.843,10.246,0.056
1,5,281.790,17.252,0,6.359,1.385,2.372,4.452,8.976,0.067
1,6,282.554,17.016,0,6.145,1.460,2.645,5.264,11.261,0.063
2,0,295.469,26.477,0,6.222,1.521,2.875,6.028,13.686,0.056
2,1,295.265,27.268,0,6.184,1.408,2.454,4.692,9.632,0.109
2,2,295.350,27.205,0,4.155,1.334,2.260,4.285,8.931,0.062
2,3,295.875,25.503,0,5.972,1.629,3.196,6.863,15.744,0.112
3,0,285.578,42.333,0,6.168,1.406,2.466,4.785,10.055,0.056
3,1,286.047,42.079,0,6.017,1.457,2.659,5.405,11.952,0.068
3,2,285.916,41.903,0,5.008,1.501,2.803,5.785,12.878,0.077
4,0,276.088,60.447,0,6.797,1.692,3.494,7.933,19.278,0.056
4,1,276.491,60.402,0,7.423,1.730,3.591,8.142,19.671,0.059
5,0,293.597,62.493,0,6.597,1.564,3.010,6.385,14.568,0.056
5,1,293.070,63.419,0,6.344,1.508,2.840,5.946,13.490,0.059
5,2,292.908,62.641,0,6.450,1.521,2.870,5.990,13.501,0.062
5,3,293.400,64.076,0,5.058,1.418,2.495,4.841,10.138,0.063
6,0,213.494,73.876,0,5.100,1.343,2.270,4.248,8.639,0.104
6,1,214.812,73.094,0,5.903,1.591,3.111,6.708,15.554,0.079
6,2,214.505,72.262,0,5.561,1.454,2.631,5.269,11.431,0.090
7,0,215.732,97.511,0,6.967,1.427,2.500,4.792,9.844,0.056
7,1,212.611,99.633,0,6.152,1.414,2.508,4.945,10.614,0.115
8,0,27.793,282.194,0,7.642,1.564,3.013,6.411,14.680,0.056
8,1,29.364,281.794,0,8.631,1.521,2.838,5.821,12.825,0.059
8,2,29.856,282.296,0,7.896,1.524,2.866,5.946,13.286,0.056
9,1,252.090,37.293,0,5.213,1.488,2.745,5.572,12.151,0.060
9,2,252.559,36.560,0,4.263,1.259,2.031,3.648,7.193,0.060
10,1,279.996,71.264,0,5.881,1.536,2.966,6.374,14.816,0.079
10,2,279.401,71.328,0,6.571,1.478,2.699,5.451,11.898,0.062
10,3,278.285,72.067,0,6.735,1.646,3.309,7.313,17.311,0.101
10,4,279.198,71.397,0,6.209,1.639,3.310,7.373,17.629,0.056
11,2,254.231,1.094,0,3.645,1.341,2.373,4.677,10.013,0.056
11,3,253.824,0.953,0,2.477,1.132,1.861,3.507,7.423,0.062
12,2,166.945,5.391,0,5.547,1.606,3.175,6.899,16.058,0.056
